,Author_Name,First_Commit_Date,Total_Number_of_commits
1,Santiago Dueñas,2015-11,731
2,Alvaro del Castillo,2015-12,47
3,Jesus M. Gonzalez-Barahona,2016-01,18
4,Alberto Martín,2016-02,51
5,camillem,2016-03,2
6,J. Manrique Lopez de la Fuente,2016-03,1
7,quan,2016-05,5
8,Luis Cañas Díaz,2016-09,1
9,Stephan Barth,2017-01,1
10,Valerio Cosentino,2017-09,263
11,valerio cosentino,2017-09,6
12,David Esler,2017-10,1
13,valerio,2017-10,2
14,David Pose Fernández,2017-11,1
15,david,2017-12,1
16,Israel Herraiz,2018-01,1
17,Miguel Ángel Fernández,2018-02,3
18,anveshc05,2018-03,1
